customer_id,customer_acct_num,first_name,last_name,customer_address,customer_city,customer_state_province,customer_postal_code,customer_country,birthdate,marital_status,yearly_income,gender,total_children,num_children_at_home,education,acct_open_date,member_card,occupation,homeowner
1,ACC0000001,Robert,Wright,6598 Cedar Ln,NEWARK,NJ,50394,USA,,S,$130K - $150K,M,1,1,High School,11/14/1991,Normal,Management,yes
2,ACC0000002,DANIEL,Lopez,1652 1st St,Tucson,AZ,31676,USA,1959-06-10,Married,,M,2,2,High School,10/23/1998,BRONZE,pROFESSIONAL,Y
3,ACC0000003,PAUL,Harris,4624 Maple Ave,Raleigh,NC,21977,USA,1958-01-07,S,$150K +,f,1,0,GRADUATE DEGREE,1992/11/11,Normal,Clerical,N
4,ACC0000004,Jennifer,Gonzalez,1280 Cedar Ln,Houston,TX,68205,USA,03 Jul 1980,S,"$50,000-$70,000",M,0,0,Bachelor's Degree,1998/10/12,Normal,Professional,Y
5,ACC0000005,Paul,Clark,7672 Pine Rd,Phoenix,AZ,32143,United States,08 Nov 1960,M,$30K - $50K,F,2,0,Bachelor's Degree,10 Nov 1990,Silver,,Y
6,ACC0000006,David,WRIGHT,3419 Oak Ave,Phoenix,AZ,14281,USA,27-11-1968,married,,F,3,2,Some College,08/27/1998,bRONZE,Professional,Y
7,ACC0000007,Nancy,Lewis,9696 Pine Rd,indianapolis,IN,30888,usa,1948-03-31,,130K-150K,F,0,0,High School,,Bronze,Clerical,no
8,ACC0000008,Kimberly,Lopez,8094 River Rd,Cleveland,OH,18075,USA,30-12-1956,S,$110K - $130K,F,1,0,Bachelor's Degree,09/11/1997,Bronze,Management,Y
9,ACC0000009,Christopher,Smith,7134 Maple Ave,hOUSTON,TX,87338,USA,10/01/1939,single,$30K - $50K,M,1,1,High School,08/31/1992,Bronze,Skilled Manual,Y
10,ACC0000010,James,Garcia,1921 Pine Rd,sEATTLE,WA,28555,USA,1947/06/30,Single,$50K - $70K,F,2,2,High School,26-07-1994,Normal,skilled manual,Y
11,ACC0000011,Matthew,Hill,5057 Cedar Ln,Hartford,CT,19467,United States,1959-10-17,S,$50K - $70K,MALE,1,0,Bachelor's Degree,09-02-1991,Bronze,Professional,Y
12,ACC0000012,Margaret,Martin,2035 Maple Ave,Memphis,TN,33284,USA,1962-04-28,married,$50K - $70K,M,3,0,Bachelor's Degree,1991/06/18,Normal,Clerical,Y
13,ACC0000013,James,Robinson,1185 Main St,Tijuana,BC,551152,méxico,14-06-1963,Married,30K-50K,F,4,1,High School,1993-08-18,Gold,Management,Y
14,ACC0000014,Elizabeth,Moore,5437 Oak Ave,Albuquerque,NM,60668,USA,11/16/1969,Married,"$50,000-$70,000",Male,1,0,High School,1998/11/15,Silver,Manual,Y
15,ACC0000015,Mary,Martinez,9735 River Rd,Memphis,TN,51565,USA,18 Jul 1975,M,$130K - $150K,M,2,1,High School,1994-09-19,Bronze,Skilled Manual,no
16,ACC0000016,Karen,ramirez,9072 Pine Rd,Spokane,WA,74138,USA,19 Jan 1949,Single,$30K - $50K,M,0,0,Partial High School,12-11-1995,bRONZE,Skilled Manual,No
17,ACC0000017,Thomas,Jones,7155 Oak Ave,Puebla,PUE,466941,Mexico,1930-11-27,married,"$50,000-$70,000",F,1,0,High School,1997-08-07,Silver,Manual,Y
18,ACC0000018,Robert,Johnson,7658 Cedar Ln,pHILADELPHIA,PA,97666,U.S.A.,1950-05-25,M,,F,0,0,Bachelor's Degree,1990-04-27,Bronze,Skilled Manual,Y
19,ACC0000019,Elizabeth,Torres,7306 Oak Ave,Mexico City,DF,580659,Mexico,1973-04-17,S,$10K - $30K,F,3,0,Bachelor's Degree,07-09-1993,Gold,Manual,Y
20,ACC0000020,Mark,Jones,4400 Pine Rd,Tucson,AZ,81048,USA,03/04/1972,S,"$30,000-$50,000",M,1,1,Some College,1998-01-08,Bronze,skilled manual,N
21,ACC0000021,Barbara,Sanchez,6540 Maple Ave,Indianapolis,IN,80405,USA,,married,$30K - $50K,FEMALE,1,1,Bachelor's Degree,25 Jan 1994,Bronze,Professional,yes
22,ACC0000022,Sandra,Walker,8832 River Rd,Calgary,AB,R8Q,canada,1935/09/25,M,"$90,000-$110,000",M,0,0,Bachelor's Degree,1996-01-05,Silver,,Y
23,ACC0000023,Daniel,Johnson,531 Oak Ave,Austin,TX,63874,USA,02 May 1969,M,$30K - $50K,FEMALE,0,0,Bachelor's Degree,10/09/1995,Bronze,Professional,yes
24,ACC0000024,Kenneth,Scott,2783 Cedar Ln,Denver,CO,68142,USA,1939-02-07,S,$30K - $50K,Female,0,0,Graduate Degree,1994/08/28,Silver,Clerical,N
25,ACC0000025,George,Taylor,1539 1st St,Spokane,WA,32083,USA,16 Jul 1956,M,$150K +,M,3,2,Bachelor's Degree,12/05/1995,Silver,Manual,Y
26,ACC0000026,Elizabeth,sMITH,959 Main St,tijuana,bc,251916,mexico,1929-10-09,M,$10K - $30K,M,0,0,Bachelor's Degree,1993-03-31,Normal,Management,N
27,ACC0000027,Steven,Wilson,8166 Main St,vANCOUVER,BC,K6U,can.,09-07-1960,S,130K-150K,M,1,1,Bachelor's Degree,09-10-1994,Silver,Skilled Manual,N
28,ACC0000028,barbara,Perez,4576 Maple Ave,Charlotte,NC,55512,UNITED STATES,14 Mar 1957,S,130K-150K,M,0,0,Bachelor's Degree,1995/06/06,Silver,Professional,Y
29,ACC0000029,Margaret,Martin,9690 1st St,Pittsburgh,PA,48001,USA,1969/06/19,M,$50K - $70K,M,1,0,High School,09/01/1993,Silver,Professional,N
30,ACC0000030,Sandra,Thomas,5650 Main St,Tijuana,BC,534452,Mexico,1942-07-15,M,$30K - $50K,Male,0,0,Some College,1995-07-17,Bronze,Clerical,Y
31,ACC0000031,Kimberly,Thomas,8067 Pine Rd,San Diego,CA,17214,USA,01 Oct 1958,M,,F,0,0,Partial High School,1998-10-25,Bronze,Professional,N
32,ACC0000032,Amanda,scott,5769 1st St,Los Angeles,CA,,US,1927/08/17,S,$30K - $50K,Male,1,1,Bachelor's Degree,03 Aug 1995,Gold,Manual,Y
33,ACC0000790,Deborah,Smith,3351 River Rd,Phoenix,AZ,17133,USA,06/21/1938,M,$110K - $130K,MALE,0,0,Some College,1998/09/27,Bronze,sKILLED mANUAL,N
34,ACC0000034,linda,Perez,6880 Pine Rd,Portland,OR,18327,USA,1937/09/12,married,,M,0,0,High School,01/04/1993,Normal,Skilled Manual,1
35,ACC0000035,Carol,Miller,2144 River Rd,Billings,MT,21381,USA,07/05/1932,S,$70K - $90K,f,0,0,High School,03-11-1994,Bronze,Manual,Y
36,ACC0000036,James,King,9846 Oak Ave,Tijuana,BC,585569,Mexico,03/22/1928,married,$10K - $30K,F,0,0,High School,1998-12-18,gold,Management,Yes
37,ACC0000037,Christopher,Martinez,7594 River Rd,Houston,tx,67737,USA,1923-07-07,married,$30K - $50K,F,1,1,High School,09/06/1998,Silver,Clerical,Y
38,ACC0000038,Paul,King,6372 Pine Rd,Reno,NV,63998,UNITED STATES,11/19/1958,M,$110K - $130K,M,5,4,Partial High School,09/14/1996,Silver,Clerical,Y
