customer_id,customer_acct_num,first_name,last_name,customer_address,customer_city,customer_state_province,customer_postal_code,customer_country,birthdate,marital_status,yearly_income,gender,total_children,num_children_at_home,education,acct_open_date,member_card,occupation,homeowner
1,ACC0000001,Robert,Wright,6598 Cedar Ln,Newark,NJ,50394,USA,,Single,$130K - $150K,Male,1,1,High School,1991-11-14,Normal,Management,Yes
2,ACC0000002,Daniel,Lopez,1652 1st St,Tucson,AZ,31676,USA,1959-06-10,Married,,Male,2,2,High School,1998-10-23,Bronze,Professional,Yes
3,ACC0000003,Paul,Harris,4624 Maple Ave,Raleigh,NC,21977,USA,1958-01-07,Single,$150K+,Female,1,0,Graduate Degree,1992-11-11,Normal,Clerical,No
4,ACC0000004,Jennifer,Gonzalez,1280 Cedar Ln,Houston,TX,68205,USA,1980-07-03,Single,$50K - $70K,Male,0,0,Bachelor'S Degree,1998-10-12,Normal,Professional,Yes
5,ACC0000005,Paul,Clark,7672 Pine Rd,Phoenix,AZ,32143,USA,1960-11-08,Married,$30K - $50K,Female,2,0,Bachelor'S Degree,1990-11-10,Silver,,Yes
6,ACC0000006,David,Wright,3419 Oak Ave,Phoenix,AZ,14281,USA,1968-11-27,Married,,Female,3,2,Some College,1998-08-27,Bronze,Professional,Yes
7,ACC0000007,Nancy,Lewis,9696 Pine Rd,Indianapolis,IN,30888,USA,1948-03-31,,$130K - $150K,Female,0,0,High School,,Bronze,Clerical,No
8,ACC0000008,Kimberly,Lopez,8094 River Rd,Cleveland,OH,18075,USA,1956-12-30,Single,$110K - $130K,Female,1,0,Bachelor'S Degree,1997-09-11,Bronze,Management,Yes
9,ACC0000009,Christopher,Smith,7134 Maple Ave,Houston,TX,87338,USA,1939-10-01,Single,$30K - $50K,Male,1,1,High School,1992-08-31,Bronze,Skilled Manual,Yes
10,ACC0000010,James,Garcia,1921 Pine Rd,Seattle,WA,28555,USA,1947-06-30,Single,$50K - $70K,Female,2,2,High School,1994-07-26,Normal,Skilled Manual,Yes
